@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE class	{0,1}

@DATA
4842.1,-4.6322,559.86,2050.7,0.55613,77.639,1
4260.3,-4.7246,538.33,1822.8,0.89939,76.131,1
3282.2,-4.9746,538.33,1732,0.72117,76.131,1
2432.4,-4.9337,516.8,961.55,0.54904,74.593,1
2522,-4.8524,516.8,627.55,0.69204,74.593,1
2120.1,-5.1311,495.26,934.17,0.98558,73.023,1
1698.7,-5.231,495.26,369.06,0.27292,73.023,1
1959.7,-5.1026,473.73,402.29,0.33948,71.418,1
1863.9,-5.2762,473.73,494.6,0.70253,0,1
1697.2,-5.2897,473.73,394.17,0.72484,0,1
1680.8,-5.0776,473.73,318.01,0.94377,0,1
1576.9,-4.9389,473.73,236.07,0.49481,0,1
1610.1,-4.9784,473.73,412.38,0.30242,0,1
