@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
2034.3,4.884,344.53,1.1549,8,1
1980.4,4.7315,344.53,1.1882,9,1
2173.7,4.8497,344.53,0.91418,8,1
2252.6,4.9197,366.06,0.8888,9,1
2297.1,4.7163,366.06,1.2763,4,1
2785.6,4.4248,366.06,1.4723,2,1
3259.2,4.4929,366.06,1.4248,2,1
2755.1,4.7133,366.06,1.2354,8,1
1961.5,4.8776,387.6,1.0253,9,1
2501.2,4.899,387.6,1.2232,5,1
2601.3,4.9966,387.6,1.2054,2,1
2801.6,4.9757,387.6,1.2045,2,1
2926.4,4.8666,387.6,1.2181,2,1
2231.9,4.8545,387.6,1.1992,2,1
2478.8,4.6808,387.6,1.3401,2,1
2863.2,4.8751,409.13,1.2596,3,1
3530.9,4.7905,409.13,1.335,3,1
3600.9,4.7044,409.13,1.3534,2,1
4521.2,4.9672,409.13,1.3441,2,1
4579.5,5.0657,409.13,1.2938,2,1
4470,4.9627,409.13,1.2644,2,1
4894.2,4.9365,409.13,1.322,2,1
4584.4,4.9897,409.13,1.3153,2,1
5710.3,4.9759,409.13,1.1915,2,1
5195.7,4.9346,409.13,1.3413,2,1
4481.5,4.8719,409.13,1.4359,2,1
4286.4,4.8308,409.13,1.4214,2,1
3913,4.7916,409.13,1.4859,2,1
3546.3,4.6918,387.6,1.5248,2,1
3191.1,4.6419,387.6,1.5047,2,1
3359.7,4.6441,387.6,1.543,2,1
3356,4.5482,387.6,1.57,2,1
4156.7,4.1272,387.6,1.655,2,1
4216,4.0538,387.6,1.6253,2,1
5042.3,4.4022,387.6,1.6383,2,1
4445.6,4.2481,387.6,1.6621,2,1
4195.8,4.4025,366.06,1.6366,2,1
3494.8,4.4114,366.06,1.5878,2,1
2193.4,4.4121,344.53,1.4863,2,1
3006.4,5.0619,323,1.097,4,1
2379.2,5.2177,882.86,0.42084,6,1
1972.8,5.1852,904.39,0.41385,4,1
1405.9,5.2171,301.46,0.23499,6,1
1125.3,5.2017,904.39,0.24327,9,0
1247.8,5.3836,775.2,0.16089,12,0
1786.7,5.317,1442.7,0.24688,8,0
1056.9,5.3558,1162.8,0.25891,8,0
854.7,5.3796,473.73,0.13261,10,0
658.52,5.4124,193.8,0.15329,10,0
673.28,5.3678,839.79,0.17741,8,0
438.35,5.4495,409.13,0.21607,6,0
554.48,5.3322,882.86,0.28241,4,0
478.37,5.3011,366.06,0.33936,7,0
388.41,5.2971,904.39,0.34084,5,0
480.66,5.2146,904.39,0.29064,5,0
318.71,5.2471,215.33,0.21058,7,0
487.38,5.1966,947.46,0.28357,5,0
281.48,5.1958,882.86,0.42569,4,0
172.15,5.2812,301.46,0.2107,5,0
367.58,5.2343,258.4,0.25736,6,0
261.38,5.2135,1033.6,0.23637,4,0
117.09,5.3429,968.99,0.27195,4,0
53.255,5.3789,301.46,0.14161,8,0
81.421,5.3597,150.73,0.076299,9,0
87.361,5.4188,387.6,0.30101,5,0
142.44,5.4603,1184.3,0.36564,6,0
119.07,5.3964,0,0.099412,5,0
82.886,5.3681,21.533,0,6,0
105.69,5.3913,0,0.18901,6,0
81.636,5.3463,21.533,0.0027361,12,0
120.89,5.3794,301.46,0.48485,3,0
151.06,5.281,301.46,0.5469,4,0
251.33,5.4235,323,0.28556,14,0
754.23,5.6564,301.46,0.24456,14,0
484.23,5.5787,301.46,0.22758,12,0
534.58,5.4601,366.06,0.53921,11,0
520.96,5.442,366.06,0.53566,6,0
436.32,5.4021,344.53,0.28563,6,0
456.13,5.216,323,0.3862,6,0
373.66,5.2651,646,0.7284,3,0
393.28,5.1357,646,1.0304,3,0
439.42,4.9629,646,0.84176,3,0
346.68,5.1094,646,0.73661,3,0
517.89,4.956,624.46,1.1807,3,0
716.98,4.9049,602.93,1.2671,3,0
555.32,5.2401,602.93,0.96859,3,0
807.85,5.261,624.46,0.86867,4,0
583.34,5.3063,624.46,0.64908,5,0
250.15,5.4114,624.46,0.29165,6,0
400.44,5.5542,279.93,0.29941,14,0
291.73,5.4578,1033.6,0.24113,13,0
377.93,5.2706,624.46,0.72832,3,0
144.49,5.3793,624.46,0.61524,5,0
340.11,5.3031,279.93,0.26316,7,0
627.62,5.3136,1485.8,0.26486,8,1
1061.1,5.3344,538.33,0.17853,8,1
3026.6,5.2663,387.6,0.58563,3,1
3969.9,4.8832,409.13,1.2963,2,1
4003.1,5.0739,452.2,1.1489,2,1
3162.9,5.1233,409.13,0.80423,2,1
4181.1,4.7291,516.8,0.81433,3,1
4363.5,4.5896,452.2,0.94848,2,1
3118.4,4.7921,430.66,1.3461,3,1
2904.8,4.8953,409.13,1.3343,2,1
2774.1,5.0408,409.13,1.1051,2,1
1957,5.1645,366.06,0.58253,6,1
1516.9,5.1552,667.53,0.49634,8,1
1249.4,5.3153,646,0.52954,7,1
1022.9,5.3355,646,0.26055,8,1
644.74,5.3184,646,0.23587,8,1
612.07,5.4274,279.93,0.23441,10,1
448.65,5.33,279.93,0.29042,8,0
352.84,5.245,279.93,0.74456,2,0
847.1,5.2407,279.93,0.3945,9,0
1910.2,5.2435,2368.7,0.30504,9,0
1100.4,5.3764,947.46,0.26345,9,0
689.53,5.3663,107.67,0.10952,8,0
659.02,5.3781,236.87,0.12546,9,0
690.35,5.4564,258.4,0.16411,8,0
599.57,5.3433,258.4,0.39298,8,0
360.53,5.3803,258.4,0.42989,7,0
496.19,5.2672,236.87,0.50614,7,0
868.53,4.9107,344.53,0.78682,2,0
994.22,4.5631,366.06,1.1479,2,0
1068.4,4.6665,366.06,1.1884,2,0
700.17,5.0438,366.06,0.91125,2,0
779.91,5.0228,366.06,0.99554,2,0
926,4.8422,387.6,0.95475,2,0
746.19,4.9189,366.06,0.83392,3,0
686.4,4.9504,344.53,0.72193,2,0
589.31,4.9271,366.06,0.47858,3,0
759.71,4.7582,366.06,0.95745,2,0
944.19,4.7515,366.06,1.2773,2,0
697.39,4.9351,366.06,1.096,2,0
516.24,5.0106,366.06,0.63514,3,0
621.11,4.8407,366.06,0.66255,3,0
558.8,4.9608,344.53,0.74567,2,0
591.32,4.8869,366.06,0.97906,2,0
881.05,4.7849,344.53,1.2224,2,0
983.5,4.8372,344.53,1.1531,2,0
1128.4,4.6326,366.06,1.114,2,0
