@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
429.69,4.6251,323,0
509.97,4.5838,301.46,0
464.2,4.7625,818.26,0
338.14,4.8835,107.67,0
416.5,4.8437,839.79,0
1080.7,4.5781,732.13,0
1359.4,4.5056,732.13,0
1105.6,4.6094,732.13,0
1208.7,4.7414,775.2,0
1893.1,4.4854,796.73,0
1491.9,4.6752,839.79,0
0,4.8453,0,0
26.922,4.9901,43.066,0
38.302,5.1259,43.066,0
43.815,5.2375,21.533,0
2.7605,5.044,21.533,1
0,5.0584,21.533,1
844.77,4.748,43.066,1
1111.1,4.806,0,1
953.75,4.6437,21.533,1
1048.7,4.7519,1248.9,1
1223,4.8877,430.66,1
1449.7,4.7093,430.66,1
1666,4.517,430.66,1
1767.8,4.6848,430.66,1
1759.6,4.771,430.66,1
1959,4.8914,21.533,1
2001.3,4.621,452.2,1
2223.5,4.7357,452.2,1
2272.2,4.8744,452.2,1
2635.2,4.7318,452.2,1
2493.1,4.5075,473.73,1
2590.8,4.5579,473.73,1
2438.9,4.5524,452.2,1
2239.2,4.547,452.2,1
2190.6,4.5099,452.2,1
2208.5,4.4493,452.2,1
2325.2,4.4914,452.2,1
2099.6,4.5841,452.2,1
2168.2,4.4918,473.73,1
2353.9,4.4115,473.73,1
2588.8,4.5148,473.73,1
2574,4.4007,473.73,1
2626.7,4.4487,473.73,1
2493.7,4.4508,495.26,1
2576.3,4.5456,495.26,1
2619.4,4.5109,495.26,1
2786.7,4.3779,495.26,1
2995.5,4.3406,495.26,1
2929.9,4.3252,495.26,1
3022.5,4.2265,495.26,1
3192.8,4.3283,495.26,1
3054.5,4.2789,495.26,1
3529,4.3728,495.26,1
3372.8,4.3414,495.26,1
3153.8,4.3392,495.26,1
3526.8,4.2969,495.26,1
3086.5,4.1875,495.26,1
3004.6,4.1486,495.26,1
2980.6,4.0873,495.26,1
2656.3,3.9868,495.26,1
3085.7,3.9062,495.26,1
3435.3,3.7792,516.8,1
2509.8,3.825,516.8,1
1961.5,4.011,516.8,1
1369.6,4.1925,516.8,1
1172.1,4.198,495.26,1
429.04,4.721,0,1
101.33,5.2298,21.533,1
27.527,5.1993,43.066,1
4.8003,5.111,21.533,1
28.758,5.1413,0,1
0,4.9167,21.533,0
40.387,5.1143,43.066,0
66.013,4.6029,21.533,0
54.497,4.5863,0,0
6.296,4.852,21.533,0
0,4.9098,43.066,0
31.23,4.7369,21.533,0
37.875,4.7615,0,0
12.022,5.1312,43.066,0
14.09,5.0847,43.066,0
1.081,5.155,21.533,0
44.3,5.3102,0,0
