@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4-weka.filters.unsupervised.attribute.Remove-R3'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
298.21,64.6,1
333.92,21.533,1
290.67,21.533,1
359.15,64.6,1
298.4,64.6,1
270.97,21.533,1
458.47,43.066,1
418.72,64.6,1
587.95,64.6,1
1446,495.26,1
2856,538.33,1
3316.6,538.33,1
2423.1,516.8,1
3531.7,538.33,1
4521,581.4,1
7063.5,581.4,1
6794.4,581.4,1
5928.2,581.4,1
5358.1,559.86,1
4601.3,559.86,1
3744.9,538.33,1
2634.8,538.33,1
2081.4,516.8,1
1842.2,516.8,1
1367,495.26,1
1158.1,495.26,1
1361.4,473.73,1
1161,21.533,1
1082.2,473.73,1
1132.7,21.533,1
1345,473.73,1
1335.8,473.73,1
1234.6,473.73,1
1309.8,473.73,1
1277,452.2,1
1091.2,452.2,1
962.46,21.533,1
1001.8,64.6,1
1046.7,452.2,1
1015.6,452.2,1
1434,473.73,1
1353.5,473.73,1
1422.4,473.73,1
1332.9,473.73,1
1473.3,473.73,1
1421.4,473.73,1
1347.4,473.73,1
1326.3,495.26,1
1444.5,495.26,1
1532.9,495.26,1
1593.7,495.26,1
1615.8,495.26,1
1794.4,495.26,1
1796.8,516.8,1
2062.1,516.8,1
2266.6,516.8,1
2430.5,516.8,1
2336.6,516.8,1
2470,516.8,1
2490.5,516.8,1
2522.5,516.8,1
2591.3,516.8,1
2698,516.8,1
2651.9,516.8,1
2580.3,516.8,1
2487.4,516.8,1
2351.4,495.26,1
2215.8,495.26,1
2138.9,495.26,1
2586,495.26,1
3302.2,495.26,1
3603.7,495.26,1
3928.4,495.26,1
3646.4,495.26,1
3146.7,473.73,1
2322.9,473.73,1
1558.9,452.2,1
900.91,430.66,1
353.45,43.066,1
22.214,64.6,1
26.807,64.6,1
20.63,21.533,0
10.484,43.066,0
13.832,43.066,0
3.4811,64.6,0
109.88,21.533,0
86.763,43.066,0
56.997,64.6,0
39.335,21.533,0
1.1483,21.533,0
39.045,64.6,0
44.699,64.6,0
5.3615,43.066,0
23.95,21.533,0
1.375,43.066,0
29.94,64.6,0
57.907,21.533,0
19.626,43.066,0
18.316,64.6,0
27.347,64.6,0
10.791,21.533,0
27.671,21.533,0
27.279,64.6,0
36.739,43.066,0
43.249,21.533,0
91.723,172.27,0
22.76,64.6,0
31.157,21.533,0
2.8996,43.066,0
11.94,64.6,0
6.728,64.6,0
37.182,21.533,0
0.95762,21.533,0
131.37,64.6,0
55.945,21.533,0
21.496,21.533,0
61.015,43.066,0
0,64.6,0
89.008,64.6,0
143.62,21.533,0
125.26,64.6,0
94.956,64.6,0
159.72,21.533,0
111.02,21.533,0
69.784,64.6,0
56.506,64.6,0
3.2054,21.533,0
40.449,21.533,0
0.88382,64.6,0
37.106,64.6,0
64.645,21.533,0
8.0545,21.533,0
69.976,64.6,1
393.41,64.6,1
1571.9,21.533,1
2401.5,516.8,1
2471.5,559.86,1
2005.9,516.8,1
3204.8,646,1
3629.5,559.86,1
2193.9,538.33,1
2118.9,538.33,1
1637.1,516.8,1
1149.9,43.066,1
991.89,775.2,1
673.2,21.533,1
389.47,43.066,1
246.38,64.6,1
193.7,64.6,1
417.99,21.533,0
270.64,43.066,0
