@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.048143,0.047481,43,37,1
0.063786,0.063123,34,28,1
0.090003,0.08934,34,28,1
0.064187,0.063524,34,28,1
0.075114,0.074451,28,22,1
0.083355,0.082692,25,19,1
0.081932,0.081269,103,97,1
0.096418,0.095755,24,18,1
0.097769,0.097106,26,20,1
0.1401,0.13944,28,22,1
0.14708,0.14642,29,23,1
0.15262,0.15196,31,25,1
0.12152,0.12086,34,28,1
0.12366,0.12299,36,30,1
0.12672,0.12606,38,32,1
0.11302,0.11236,39,33,1
0.1114,0.11073,41,35,1
0.11408,0.11341,44,38,1
0.1223,0.12163,46,40,1
0.11603,0.11537,46,40,1
0.11569,0.11503,46,40,1
0.11817,0.11751,46,40,1
0.11852,0.11785,46,40,1
0.12309,0.12242,46,40,1
0.12264,0.12198,47,41,1
0.11788,0.11721,48,42,1
0.11416,0.11349,48,42,1
0.11477,0.11411,49,43,1
0.11174,0.11108,49,43,1
0.11521,0.11455,48,42,1
0.10694,0.10628,48,42,1
0.090169,0.089506,48,42,1
0.12148,0.12082,46,40,1
0.12014,0.11948,45,39,1
0.11981,0.11915,44,38,1
0.12307,0.12241,45,39,1
0.12244,0.12178,44,38,1
0.11546,0.1148,43,37,1
0.12119,0.12053,41,35,1
0.11622,0.11556,40,34,1
0.12915,0.12849,40,34,1
0.13255,0.13189,40,34,1
0.13265,0.13199,39,33,1
0.13875,0.13809,38,32,1
0.13959,0.13892,37,31,1
0.13082,0.13016,36,30,1
0.1302,0.12954,35,29,1
0.13219,0.13153,35,29,1
0.1218,0.12114,35,29,1
0.12281,0.12215,35,29,1
0.13321,0.13255,35,29,1
0.13186,0.13119,35,29,1
0.12656,0.1259,36,30,1
0.1225,0.12184,36,30,1
0.11781,0.11715,36,30,1
0.11576,0.1151,37,31,1
0.11438,0.11372,37,31,1
0.1227,0.12204,38,32,1
0.1282,0.12754,39,33,1
0.11831,0.11765,40,34,1
0.10709,0.10642,41,35,1
0.098702,0.098039,41,35,1
0.10012,0.099459,40,34,1
0.094929,0.094266,40,34,1
0.088817,0.088154,41,35,1
0.10369,0.10303,43,37,1
0.085311,0.084648,45,39,1
0.060695,0.060032,48,42,1
0.045291,0.044628,52,46,1
0.030322,0.029659,52,46,1
0.016236,0.015573,52,46,1
0.016478,0.015815,44,38,1
0.013512,0.012849,48,42,0
0.0054913,0.0048284,51,45,0
0.0072721,0.0066092,36,30,0
0.0034273,0.0027644,44,38,0
0.0050008,0.0043379,37,31,0
0.003984,0.0033211,76,70,0
0.0027295,0.0020666,12,6,0
0.004642,0.0039791,35,29,0
0.0036397,0.0029768,52,46,0
0.0030736,0.0024107,31,25,0
0.0033375,0.0026746,94,88,0
0.0033692,0.0027063,71,65,0
0.0031213,0.0024583,12,6,0
0.0050169,0.004354,64,58,0
0.0026576,0.0019947,91,85,0
0.002598,0.0019351,139,133,0
0.0024516,0.0017887,70,64,0
0.0023404,0.0016775,94,88,0
0.002617,0.0019541,86,80,0
0.0032576,0.0025947,26,20,0
0.0028162,0.0021533,61,55,0
0.0025278,0.0018649,27,21,0
0.0035672,0.0029043,20,14,0
0.0041785,0.0035156,51,45,0
0.0035128,0.0028499,73,67,0
0.0031195,0.0024566,78,72,0
0.0096915,0.0090286,14,8,0
0.0074828,0.0068199,14,8,0
0.0053364,0.0046735,124,118,0
0.00643,0.0057671,55,49,0
0.0088803,0.0082174,54,48,0
0.0048664,0.0042035,124,118,0
0.0062543,0.0055914,55,49,0
0.0054749,0.004812,55,49,0
0.0087933,0.0081304,60,54,0
0.0084921,0.0078292,62,56,0
0.0076029,0.00694,60,54,0
0.0082554,0.0075924,60,54,0
0.0094256,0.0087627,14,8,0
0.0095683,0.0089054,12,6,0
0.010192,0.0095294,56,50,0
0.011502,0.010839,140,134,0
0.0093098,0.0086469,14,8,0
0.0091786,0.0085157,14,8,0
0.011536,0.010873,56,50,0
0.010998,0.010335,15,9,0
0.015999,0.015336,54,48,0
0.008955,0.0082921,54,48,0
0.0087706,0.0081077,57,51,0
0.0087981,0.0081352,56,50,0
0.0075275,0.0068646,54,48,0
0.013529,0.012595,12,6,1
0.027956,0.02691,125,119,1
0.060208,0.058946,41,35,1
0.077998,0.076735,38,32,1
0.046671,0.045408,36,30,1
0.044712,0.04345,129,123,1
0.029566,0.028303,26,20,1
0.039907,0.03864,112,106,1
0.10997,0.10868,33,27,1
0.16807,0.16678,33,27,1
0.11808,0.11679,37,31,1
0.066725,0.065435,48,42,1
0.052503,0.051213,62,56,1
0.030336,0.029031,86,80,1
0.027258,0.025542,153,147,1
0.011208,0.0094919,25,19,1
0.01041,0.0086933,120,114,1
0.0086476,0.0069313,44,38,0
0.0053548,0.0036384,45,39,0
0.003819,0.0021026,67,61,0
0.0032151,0.0014987,65,59,0
0.002751,0.00065615,129,123,0
0.0026707,0.00057577,129,123,0
0.0018618,0,34,28,0
0.0019456,8.3761e-05,57,51,0
0.0032369,0.0013751,7,1,0
0.0056896,0.0038278,65,59,0
0.0061001,0.0042383,62,56,0
0.0070186,0.0051568,7,1,0
0.0069026,0.0050408,7,1,0
0.0065533,0.0046915,7,1,0
0.0061461,0.0042843,7,1,0
0.0068012,0.0049394,66,60,0
0.0076831,0.0058213,67,61,0
0.0074878,0.005626,67,61,0
0.0085994,0.0067376,7,1,0
0.008313,0.0064512,8,2,0
0.011019,0.0091567,8,2,0
0.010309,0.0084475,7,1,0
0.010369,0.0085069,9,3,0
