@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
324.78,78.903,4.98,0.41538,279.93,193.8,0.088521,0.04184,6,8,0
301.17,55.293,4.971,0.4244,258.4,172.27,0.30397,0.25729,5,9,0
353.33,107.45,4.8658,0.52964,279.93,193.8,0.25726,0.21058,3,11,0
261.07,15.192,4.8316,0.5638,279.93,193.8,0.28844,0.24176,2,12,0
228.71,0,4.8482,0.5472,258.4,172.27,0.11426,0.067577,2,12,0
147.72,0,4.9448,0.45064,258.4,172.27,0.19686,0.15018,4,10,0
141.77,0,4.9856,0.40981,581.4,495.26,0.19457,0.14789,4,10,0
157.48,15.714,4.9162,0.47918,258.4,172.27,0.29062,0.24394,4,10,0
21.059,0,5.1063,0.28913,129.2,43.066,0.16631,0.11962,5,9,0
7.3432,0,5.1439,0.25149,107.67,21.533,0.12038,0.073696,5,9,0
69.931,62.588,5.0406,0.35485,559.86,473.73,0.36809,0.3214,2,12,0
96.855,89.512,4.9987,0.39667,301.46,215.33,0.24393,0.19725,3,11,0
33.385,26.041,5.1502,0.24523,258.4,172.27,0.26336,0.21668,5,9,0
41.644,34.301,5.0889,0.30648,387.6,301.46,0.12123,0.074544,5,9,0
85.978,78.635,5.0291,0.36626,150.73,64.6,0.23442,0.18774,6,8,0
39.545,32.202,5.1089,0.2865,279.93,193.8,0.12837,0.081689,6,8,0
14.84,7.4967,5.2044,0.19101,495.26,409.13,0.15527,0.10859,7,7,0
138.5,131.15,5.1532,0.24224,150.73,64.6,0.11898,0.072301,6,8,0
87.789,80.446,5.1125,0.28288,150.73,64.6,0.077391,0.030709,5,9,0
157.73,150.39,5.0154,0.38002,172.27,86.133,0.16779,0.12111,6,8,0
119.25,111.91,5.0236,0.3718,409.13,323,0.34642,0.29974,3,11,0
138.97,131.63,5.0065,0.3889,387.6,301.46,0.14888,0.1022,4,10,0
115.72,108.38,4.9514,0.44405,409.13,323,0.31924,0.27256,4,10,0
93.233,85.89,4.9948,0.40061,581.4,495.26,0.24592,0.19924,5,9,0
86.866,79.522,5.1967,0.19871,387.6,301.46,0.18646,0.13978,7,7,0
87.615,80.272,5.2008,0.19464,236.87,150.73,0.2115,0.16482,6,8,0
155,147.65,5.1494,0.24605,387.6,301.46,0.44029,0.39361,2,12,0
183.97,176.63,5.0336,0.36181,409.13,323,0.69489,0.64821,1,13,0
215.9,208.56,5.0861,0.30927,215.33,129.2,0.20132,0.15464,3,11,0
230.15,222.81,5.2147,0.18067,236.87,150.73,0.22228,0.1756,2,12,0
447.01,439.67,5.1927,0.20272,409.13,323,0.35162,0.30494,1,13,0
349.63,342.29,5.1976,0.19784,236.87,150.73,0.37484,0.32816,3,11,0
559.65,552.3,5.0325,0.3629,775.2,689.06,0.72358,0.67689,3,11,0
509.41,502.07,5.1095,0.28587,796.73,710.6,0.81059,0.7639,3,11,0
424.15,416.8,5.1777,0.21766,430.66,344.53,0.66581,0.61913,4,10,0
231.21,223.86,5.3256,0.069755,775.2,689.06,0.42451,0.37783,3,11,0
281.05,273.71,5.2105,0.18487,775.2,689.06,0.36377,0.31709,4,10,0
203.12,195.78,5.312,0.083422,409.13,323,0.31219,0.26551,7,7,0
375.79,368.45,5.1153,0.28014,775.2,689.06,0.55627,0.50959,3,11,0
562.77,555.42,5.1546,0.24083,430.66,344.53,0.38424,0.33756,4,10,0
639.73,632.39,5.0311,0.36425,409.13,323,0.66342,0.61674,3,11,0
466.27,458.93,5.0551,0.3403,775.2,689.06,0.70903,0.66235,3,11,0
691.2,683.86,4.9815,0.41389,775.2,689.06,0.61962,0.57294,3,11,0
611.18,603.84,5.0191,0.37635,538.33,452.2,0.25147,0.20479,3,11,0
665.82,658.48,5.0032,0.39216,215.33,129.2,0.21332,0.16664,2,12,0
1054.8,1047.4,4.9518,0.44362,409.13,323,0.27638,0.2297,3,11,0
866.84,859.5,5.0227,0.37271,215.33,129.2,0.36575,0.31907,3,11,0
723.66,716.32,4.9427,0.45274,796.73,710.6,0.68569,0.639,3,11,0
713.34,705.99,4.9075,0.4879,796.73,710.6,0.80846,0.76178,3,11,0
837.87,830.53,4.9974,0.39799,818.26,732.13,0.73606,0.68938,2,12,0
828.3,820.96,4.9871,0.40829,387.6,301.46,0.54108,0.49439,2,12,0
754.14,746.8,4.8388,0.5566,818.26,732.13,0.63123,0.58455,2,12,0
850.36,843.01,4.8842,0.51124,818.26,732.13,0.75631,0.70963,3,11,0
980.5,973.16,5.0882,0.30724,236.87,150.73,0.20713,0.16045,5,9,0
1013.2,1005.8,5.0033,0.3921,409.13,323,0.23009,0.18341,5,9,0
627.27,619.92,5.01,0.38543,818.26,732.13,0.37421,0.32753,2,12,0
826.41,819.07,4.9879,0.40752,409.13,323,0.22482,0.17814,6,8,0
768.04,760.7,4.8705,0.52491,861.33,775.2,0.34135,0.29467,4,10,0
1131.9,1124.6,4.6981,0.6973,409.13,323,0.80324,0.75656,2,12,0
1198.5,1191.1,4.6074,0.78804,473.73,387.6,0.8767,0.83001,2,12,0
1744.1,1736.7,4.5141,0.8813,516.8,430.66,0.80513,0.75845,2,12,0
2851.5,2844.1,4.2385,1.1569,516.8,430.66,1.0121,0.96541,2,12,0
2989.9,2982.6,4.1913,1.2041,516.8,430.66,1.1002,1.0536,2,12,0
2547.7,2540.4,4.4661,0.92931,516.8,430.66,0.95752,0.91083,2,12,0
1224.1,1216.8,4.6942,0.70115,193.8,107.67,0.32927,0.28259,3,11,0
1094.5,1087.2,4.6248,0.77063,495.26,409.13,0.29734,0.25066,2,12,0
1121.8,1114.4,4.7179,0.67748,516.8,430.66,0.50919,0.46251,3,11,0
1194.1,1186.8,5.2107,0.18468,344.53,258.4,0.39191,0.34523,3,11,0
886.19,878.85,4.9153,0.48009,409.13,323,0.32658,0.2799,3,11,0
866.19,858.84,4.9254,0.46997,538.33,452.2,0.39334,0.34666,3,11,0
612.32,604.98,4.9879,0.4075,473.73,387.6,0.57361,0.52693,2,12,0
