@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
2412.7,2166.9,5.1618,1.1767,107.67,21.533,0.051863,0.039224,72,58,1
4173.9,3928,5.3954,1.4104,344.53,258.4,0.042435,0.029796,29,15,1
2843.7,2597.8,5.2084,1.2234,366.06,279.93,0.038307,0.025667,96,82,1
2659,2413.1,5.0989,1.1138,344.53,258.4,0.03334,0.020701,34,20,1
2232.7,1986.8,4.9352,0.95017,344.53,258.4,0.035051,0.022412,41,27,1
2050.7,1804.8,4.9115,0.92648,344.53,258.4,0.039125,0.026485,70,56,1
1169.2,923.3,5.0569,1.0718,366.06,279.93,0.033799,0.02116,69,55,1
662.43,416.55,5.2012,1.2162,646,559.86,0.022218,0.0095793,33,19,1
1152.1,906.18,4.9446,0.95955,279.93,193.8,0.022922,0.010283,62,48,1
700.1,454.22,4.91,0.92491,107.67,21.533,0.0326,0.019961,37,23,1
708.6,462.72,4.9182,0.93317,258.4,172.27,0.021399,0.0087601,70,56,1
589.39,343.51,4.9199,0.93483,258.4,172.27,0.025555,0.012915,158,144,0
396.82,150.94,5.0332,1.0481,366.06,279.93,0.018652,0.0060126,88,74,0
324.78,78.903,4.98,0.99497,279.93,193.8,0.021748,0.0091089,65,51,0
301.17,55.293,4.971,0.98596,258.4,172.27,0.017957,0.0053181,72,58,0
353.33,107.45,4.8658,0.88071,279.93,193.8,0.016843,0.0042041,128,114,0
261.07,15.192,4.8316,0.84656,279.93,193.8,0.014074,0.0014345,113,99,0
228.71,0,4.8482,0.86315,258.4,172.27,0.014579,0.0019398,55,41,0
147.72,0,4.9448,0.95971,258.4,172.27,0.020201,0.0075618,35,21,0
141.77,0,4.9856,1.0005,581.4,495.26,0.013439,0.00079951,113,99,0
157.48,15.714,4.9162,0.93117,258.4,172.27,0.014867,0.0022275,85,71,0
21.059,0,5.1063,1.1212,129.2,43.066,0.013112,0.00047238,90,76,0
7.3432,0,5.1439,1.1589,107.67,21.533,0.010079,0,98,84,0
69.931,62.588,5.0406,1.0555,559.86,473.73,0.011402,0.0013227,80,66,0
96.855,89.512,4.9987,1.0137,301.46,215.33,0.013918,0.0038388,109,95,0
33.385,26.041,5.1502,1.1651,258.4,172.27,0.014831,0.0047517,46,32,0
41.644,34.301,5.0889,1.1039,387.6,301.46,0.018962,0.0088826,34,20,0
85.978,78.635,5.0291,1.0441,150.73,64.6,0.017049,0.0069695,48,34,0
39.545,32.202,5.1089,1.1239,279.93,193.8,0.0147,0.0046211,21,7,0
14.84,7.4967,5.2044,1.2193,495.26,409.13,0.015349,0.0052697,146,132,0
138.5,131.15,5.1532,1.1681,150.73,64.6,0.021421,0.011342,96,82,0
87.789,80.446,5.1125,1.1275,150.73,64.6,0.022196,0.012117,109,95,0
157.73,150.39,5.0154,1.0303,172.27,86.133,0.01938,0.0093009,111,97,0
119.25,111.91,5.0236,1.0386,409.13,323,0.015021,0.0049421,115,101,0
138.97,131.63,5.0065,1.0215,387.6,301.46,0.011132,0.0010529,15,1,0
115.72,108.38,4.9514,0.96631,409.13,323,0.014413,0.0043338,106,92,0
93.233,85.89,4.9948,1.0097,581.4,495.26,0.017243,0.007164,37,23,0
86.866,79.522,5.1967,1.2116,387.6,301.46,0.016058,0.0059793,37,23,0
87.615,80.272,5.2008,1.2157,236.87,150.73,0.016637,0.0065576,89,75,0
155,147.65,5.1494,1.1643,387.6,301.46,0.023924,0.013845,60,46,0
183.97,176.63,5.0336,1.0485,409.13,323,0.019982,0.0099025,33,19,0
215.9,208.56,5.0861,1.1011,215.33,129.2,0.021298,0.011219,34,20,0
230.15,222.81,5.2147,1.2297,236.87,150.73,0.020463,0.010384,104,90,0
447.01,439.67,5.1927,1.2076,409.13,323,0.033322,0.023243,51,37,0
349.63,342.29,5.1976,1.2125,236.87,150.73,0.026366,0.016287,63,49,0
559.65,552.3,5.0325,1.0475,775.2,689.06,0.026088,0.016009,63,49,0
509.41,502.07,5.1095,1.1245,796.73,710.6,0.036335,0.026255,60,46,0
424.15,416.8,5.1777,1.1927,430.66,344.53,0.024501,0.014422,66,52,0
231.21,223.86,5.3256,1.3406,775.2,689.06,0.022263,0.012184,62,48,0
281.05,273.71,5.2105,1.2255,775.2,689.06,0.024319,0.014239,119,105,0
203.12,195.78,5.312,1.3269,409.13,323,0.022591,0.012512,65,51,0
375.79,368.45,5.1153,1.1302,775.2,689.06,0.032781,0.022702,62,48,0
562.77,555.42,5.1546,1.1695,430.66,344.53,0.022082,0.012003,118,104,0
639.73,632.39,5.0311,1.0461,409.13,323,0.025485,0.015406,64,50,0
466.27,458.93,5.0551,1.0701,775.2,689.06,0.017104,0.0070249,67,52,0
691.2,683.86,4.9815,0.99646,775.2,689.06,0.026131,0.016052,122,107,0
611.18,603.84,5.0191,1.034,538.33,452.2,0.018979,0.0088997,128,113,0
665.82,658.48,5.0032,1.0182,215.33,129.2,0.021872,0.011793,76,61,0
1054.8,1047.4,4.9518,0.96674,409.13,323,0.028615,0.018536,62,47,0
866.84,859.5,5.0227,1.0376,215.33,129.2,0.030667,0.020588,52,37,0
723.66,716.32,4.9427,0.95761,796.73,710.6,0.026741,0.016661,76,61,0
713.34,705.99,4.9075,0.92245,796.73,710.6,0.022931,0.012851,118,103,0
837.87,830.53,4.9974,1.0124,818.26,732.13,0.027719,0.01764,117,102,0
828.3,820.96,4.9871,1.0021,387.6,301.46,0.029639,0.01956,33,18,0
754.14,746.8,4.8388,0.85375,818.26,732.13,0.031439,0.02136,50,35,0
850.36,843.01,4.8842,0.89911,818.26,732.13,0.025542,0.015463,116,101,0
980.5,973.16,5.0882,1.1031,236.87,150.73,0.023346,0.013267,120,105,0
1013.2,1005.8,5.0033,1.0183,409.13,323,0.021247,0.011168,72,57,0
627.27,619.92,5.01,1.0249,818.26,732.13,0.016367,0.0062875,73,58,0
826.41,819.07,4.9879,1.0028,409.13,323,0.028103,0.018024,86,71,0
768.04,760.7,4.8705,0.88544,861.33,775.2,0.025929,0.01585,113,98,0
1131.9,1124.6,4.6981,0.71306,409.13,323,0.024611,0.014532,39,24,0
1198.5,1191.1,4.6074,0.62231,473.73,387.6,0.02483,0.01475,46,31,0
1744.1,1736.7,4.5141,0.52906,516.8,430.66,0.030546,0.020467,45,30,0
2851.5,2844.1,4.2385,0.25348,516.8,430.66,0.030938,0.020859,31,16,0
2989.9,2982.6,4.1913,0.20623,516.8,430.66,0.034875,0.024796,39,24,0
2547.7,2540.4,4.4661,0.48105,516.8,430.66,0.026047,0.015968,23,8,0
1224.1,1216.8,4.6942,0.7092,193.8,107.67,0.025289,0.01521,64,49,0
1094.5,1087.2,4.6248,0.63972,495.26,409.13,0.02135,0.011271,45,30,0
1121.8,1114.4,4.7179,0.73288,516.8,430.66,0.02463,0.014551,136,121,0
1194.1,1186.8,5.2107,1.2257,344.53,258.4,0.027137,0.017058,35,20,0
886.19,878.85,4.9153,0.93027,409.13,323,0.023033,0.012954,133,118,0
866.19,858.84,4.9254,0.94039,538.33,452.2,0.020297,0.010218,40,25,0
612.32,604.98,4.9879,1.0029,473.73,387.6,0.017095,0.0070164,89,74,0
987.33,979.99,4.7639,0.77885,452.2,366.06,0.021307,0.011228,56,41,0
996.96,989.62,4.9681,0.98309,473.73,387.6,0.02351,0.013431,47,32,0
1422.5,1415.2,5.0885,1.1034,452.2,366.06,0.038398,0.028319,43,28,0
1108.2,1100.8,4.9661,0.98109,473.73,387.6,0.026706,0.016627,15,0,0
663.71,656.37,5.0641,1.079,473.73,387.6,0.020709,0.01063,84,69,0
766.77,759.42,5.0229,1.0379,473.73,387.6,0.019039,0.0089603,51,36,0
998.69,991.35,4.9023,0.91725,689.06,602.93,0.032494,0.022414,70,55,0
1117.4,1110,4.9286,0.94358,473.73,387.6,0.034396,0.024317,53,38,0
814.96,807.62,5.0371,1.0521,258.4,172.27,0.028278,0.018199,16,1,0
1295.5,1288.2,4.9781,0.99305,452.2,366.06,0.026808,0.016729,40,25,0
1510.4,1503.1,4.9878,1.0027,452.2,366.06,0.037687,0.027608,40,25,0
1162.1,1154.7,4.994,1.009,1055.1,968.99,0.032175,0.022095,72,57,0
752.36,745.01,5.1278,1.1427,1033.6,947.46,0.033827,0.023748,33,18,0
1280.1,1272.7,5.1167,1.1317,430.66,344.53,0.033146,0.023067,74,59,0
