@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.074687,0.066686,37,24,1
0.075805,0.067805,35,22,1
0.084974,0.076973,31,18,1
0.070164,0.062163,31,18,1
0.057807,0.049806,31,18,1
0.043495,0.035494,35,22,1
0.039271,0.03127,38,25,1
0.024318,0.016317,44,31,1
0.020344,0.012343,23,10,1
0.01437,0.0063689,54,41,1
0.014295,0.0062937,113,100,1
0.01167,0.0036688,41,28,1
0.010619,0.0026177,123,110,0
0.011201,0.0032,26,13,0
0.0097113,0.0017104,112,99,0
0.010213,0.0022126,20,7,0
0.010655,0.002654,101,88,0
0.010937,0.0029359,121,108,0
0.01202,0.0040188,151,138,0
0.011846,0.0038452,62,49,0
0.016823,0.0088226,36,23,0
0.014159,0.0061584,17,4,0
0.014167,0.006166,153,140,0
0.01604,0.0080389,59,46,0
0.010695,0.0026943,80,67,0
0.013161,0.0051597,58,45,0
0.012351,0.0043501,32,19,0
0.014524,0.0065235,61,48,0
0.013203,0.005202,97,84,0
0.015126,0.0071256,67,54,0
0.012077,0.0040757,59,46,0
0.0078276,0,64,51,0
0.01134,0.0035119,40,27,0
0.0078711,4.3494e-05,54,41,0
0.0081203,0.00029265,77,64,0
0.0094419,0.0016142,74,61,0
0.010758,0.0029308,55,42,0
0.012609,0.0047817,51,38,1
0.023468,0.01564,42,29,1
0.064166,0.056339,42,29,1
0.072618,0.06479,44,31,1
0.084038,0.07621,44,31,1
0.1009,0.09307,44,31,1
0.10617,0.098347,42,29,1
