@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.14767,0.11078,0.066243,0.045372,1
0.11822,0.081327,0.072595,0.051724,1
0.10334,0.066454,0.060799,0.039927,0
0.12172,0.084831,0.069873,0.049002,0
0.12191,0.085024,0.090744,0.069873,0
0.10595,0.069063,0.087114,0.066243,0
0.090853,0.053963,0.090744,0.069873,0
0.083064,0.046173,0.094374,0.073503,0
0.073888,0.036997,0.096189,0.075318,0
0.067894,0.031004,0.098911,0.07804,0
0.072648,0.035757,0.091652,0.07078,0
0.069296,0.032405,0.07441,0.053539,0
0.064974,0.028084,0.069873,0.049002,0
0.069006,0.032116,0.068966,0.048094,0
0.067074,0.030184,0.057169,0.036298,0
0.062183,0.025293,0.057169,0.036298,0
0.055915,0.019024,0.062613,0.041742,0
0.057478,0.020588,0.065336,0.044465,0
0.056443,0.019553,0.073503,0.052632,0
0.052602,0.015711,0.071688,0.050817,0
0.048258,0.011367,0.068966,0.048094,0
0.039752,0.0028615,0.077132,0.056261,0
0.039922,0.0030309,0.078947,0.058076,0
0.041473,0.0045827,0.086207,0.065336,0
0.046261,0.0093703,0.099819,0.078947,0
0.054249,0.017358,0.068966,0.048094,0
0.05389,0.016999,0.048094,0.027223,0
0.047819,0.010928,0.057169,0.036298,0
0.045279,0.008388,0.063521,0.04265,0
0.050451,0.01356,0.062613,0.041742,0
0.052289,0.015398,0.076225,0.055354,0
0.059437,0.022546,0.11525,0.094374,0
0.072574,0.035683,0.12886,0.10799,0
0.07212,0.035229,0.1216,0.10073,0
0.07525,0.038359,0.090744,0.069873,0
0.074821,0.037931,0.07078,0.049909,0
0.068447,0.031556,0.07804,0.057169,0
0.067765,0.030875,0.076225,0.055354,0
0.065751,0.02886,0.069873,0.049002,0
0.079191,0.0423,0.055354,0.034483,0
0.079031,0.042141,0.041742,0.020871,0
0.070357,0.033466,0.045372,0.024501,0
0.092619,0.055728,0.040835,0.019964,0
0.10957,0.072678,0.041742,0.020871,0
0.094315,0.057424,0.066243,0.045372,0
0.089503,0.052613,0.079855,0.058984,0
0.085095,0.048205,0.07804,0.057169,0
0.059143,0.022253,0.080762,0.059891,0
0.059361,0.02247,0.10254,0.08167,0
0.059283,0.022392,0.10526,0.084392,0
0.059093,0.022202,0.076225,0.055354,0
0.056967,0.020076,0.072595,0.051724,0
0.060932,0.024042,0.073503,0.052632,0
0.077477,0.040586,0.073503,0.052632,1
0.12126,0.084367,0.072595,0.051724,1
0.2069,0.17001,0.061706,0.040835,1
0.31111,0.27422,0.044465,0.023593,1
0.30414,0.26725,0.049002,0.028131,1
0.25821,0.22131,0.049909,0.029038,1
0.34348,0.30659,0.03176,0.010889,1
0.36503,0.32814,0.030853,0.0099819,1
0.30651,0.26962,0.044465,0.023593,1
0.27445,0.23756,0.066243,0.045372,1
0.22723,0.19034,0.078947,0.058076,1
0.16932,0.13243,0.085299,0.064428,1
0.14909,0.1122,0.078947,0.058076,1
0.12165,0.084757,0.073503,0.052632,1
0.097239,0.060348,0.078947,0.058076,1
0.079607,0.042716,0.087114,0.066243,1
0.074342,0.037451,0.076225,0.055354,1
0.071401,0.034511,0.065336,0.044465,0
0.063281,0.02639,0.061706,0.040835,0
0.11339,0.076495,0.07078,0.049909,0
0.13094,0.094051,0.095281,0.07441,0
0.10353,0.06664,0.097096,0.076225,0
0.08485,0.047959,0.084392,0.063521,0
0.076006,0.039116,0.089837,0.068966,0
0.078807,0.041917,0.094374,0.073503,0
0.079995,0.040243,0.075318,0.054446,0
0.074061,0.034309,0.072595,0.051724,0
0.07536,0.035608,0.068966,0.048094,0
0.1185,0.078751,0.045372,0.024501,0
0.14467,0.10492,0.030853,0.0099819,0
0.14149,0.10173,0.03539,0.014519,0
0.11991,0.080157,0.039927,0.019056,0
0.12115,0.081401,0.041742,0.020871,0
0.12894,0.089192,0.046279,0.025408,0
0.11326,0.073511,0.043557,0.022686,0
0.10304,0.063286,0.048094,0.027223,0
0.099574,0.059822,0.050817,0.029946,0
0.12508,0.085329,0.036298,0.015426,0
0.13834,0.098592,0.026316,0.0054446,0
0.11827,0.07852,0.030853,0.0099819,0
0.090878,0.051126,0.047187,0.026316,0
0.097031,0.057279,0.045372,0.024501,0
0.10062,0.060872,0.034483,0.013612,0
0.10994,0.070191,0.029946,0.0090744,0
0.12427,0.084513,0.03176,0.010889,0
0.13239,0.092639,0.030853,0.0099819,0
0.14456,0.10481,0.026316,0.0054446,0
0.13828,0.098524,0.022686,0.0018149,0
0.12455,0.084799,0.029038,0.008167,0
0.12171,0.08196,0.036298,0.015426,0
0.11255,0.072795,0.026316,0.0054446,0
0.089978,0.050225,0.023593,0.0027223,0
0.069329,0.029577,0.032668,0.011797,0
0.058034,0.018282,0.043557,0.022686,0
0.05966,0.019907,0.03902,0.018149,0
0.060118,0.020366,0.039927,0.019056,0
0.052486,0.012734,0.049002,0.028131,0
0.050763,0.011011,0.050817,0.029946,0
0.051676,0.011924,0.049909,0.029038,0
0.059841,0.020089,0.040835,0.019964,0
0.067753,0.028001,0.036298,0.015426,0
