@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
4059.4,3875.7,5.0101,0.62542,1399.7,1248.9,1
4713.6,4529.9,5.0696,0.56598,1421.2,1270.5,1
3998.9,3815.2,4.9549,0.6807,1421.2,1270.5,1
4038.8,3855.1,4.9055,0.73001,1442.7,1292,1
4470.7,4286.9,5.0127,0.62283,1442.7,1292,1
4431.1,4247.4,4.8716,0.76395,1464.3,1313.5,1
4466.9,4283.2,4.9425,0.69309,1485.8,1335.1,1
4431.2,4247.4,4.7901,0.84547,1485.8,1335.1,1
4650.1,4466.3,4.7991,0.83648,990.53,839.79,1
4938.3,4754.6,4.8851,0.75044,990.53,839.79,1
5162,4978.2,4.9448,0.69078,990.53,839.79,1
4557.9,4374.2,5.024,0.61159,1442.7,1292,1
4360,4176.3,5.0996,0.53592,947.46,796.73,1
3880.2,3696.5,5.1409,0.49468,947.46,796.73,1
3585.3,3401.6,5.1296,0.50591,5943.2,5792.4,1
3265.1,3081.4,5.1102,0.52534,5878.6,5727.8,1
3619.7,3436,5.2449,0.3907,5814,5663.2,1
3946.4,3762.7,5.3323,0.30326,5684.8,5534,1
3494.1,3310.4,5.3403,0.29524,5534,5383.3,1
2976.7,2792.9,5.287,0.34856,5921.6,5770.9,1
2859.1,2675.4,5.2588,0.37678,5835.5,5684.8,1
3307.7,3124,5.3294,0.30614,6180,6029.3,1
3415.5,3231.8,5.2895,0.34606,5684.8,5534,1
2854.4,2670.7,5.2043,0.43125,6180,6029.3,1
3194.2,3010.5,5.1889,0.44668,6137,5986.2,1
2939.3,2755.6,5.3674,0.2682,6115.4,5964.7,1
3878.7,3694.9,5.4032,0.23238,6137,5986.2,1
4174.6,3990.8,5.5623,0.073279,215.33,64.6,1
3290.8,3107.1,5.598,0.037578,6158.5,6007.8,1
