@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
1249.7,4.9619,323,1
1540.7,4.8698,323,1
1354.7,4.8843,323,1
1654.8,4.8885,323,1
1533.1,4.9044,323,1
1712,4.8087,323,1
1889.1,4.8085,344.53,1
1985,4.7974,323,1
2225.3,4.817,323,1
1783.3,4.9215,323,1
1708.9,4.7409,344.53,1
1600.2,4.7664,344.53,1
1765.2,4.7766,344.53,1
1859.5,4.7675,344.53,1
2014.4,4.7671,344.53,1
1983.9,4.7454,344.53,1
1808.1,4.8963,323,1
1650.8,4.9031,323,1
1723,4.9313,323,1
1555.9,4.8602,323,1
1638.8,4.913,323,1
1638.2,4.916,323,1
1719,4.9579,301.46,1
1832.6,4.9041,323,1
1596.1,4.9254,323,1
1884.2,4.8022,301.46,1
1727.9,4.714,323,1
1424.1,4.9202,323,1
1769.3,4.8525,323,1
1619.8,4.6931,323,1
1580.6,4.6388,323,1
1549.3,4.548,323,1
1635.7,4.52,323,1
1828,4.5151,344.53,1
1978.1,4.6219,344.53,1
2229.2,4.4961,344.53,1
2268.7,4.6616,344.53,1
1972.9,4.4077,344.53,1
2226.3,4.4681,344.53,1
2073.7,4.3517,344.53,1
2157.3,4.3226,344.53,1
2193,4.4203,366.06,1
2308,4.4337,366.06,1
2492.3,4.4375,366.06,1
