@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE class	{0,1}

@DATA
0.035206,0.0039653,0.045372,0.041742,7.3432,0,5.1439,0.25149,107.67,21.533,0
0.035214,0.0039728,0.044465,0.04265,69.931,62.588,5.0406,0.35485,559.86,473.73,0
0.033634,0.0023937,0.049002,0.038113,96.855,89.512,4.9987,0.39667,301.46,215.33,0
0.034515,0.0032743,0.050817,0.036298,33.385,26.041,5.1502,0.24523,258.4,172.27,0
0.035657,0.0044165,0.043557,0.043557,41.644,34.301,5.0889,0.30648,387.6,301.46,0
0.036783,0.0055423,0.045372,0.041742,85.978,78.635,5.0291,0.36626,150.73,64.6,0
0.032765,0.0015244,0.056261,0.030853,39.545,32.202,5.1089,0.2865,279.93,193.8,0
0.032147,0.00090627,0.062613,0.024501,14.84,7.4967,5.2044,0.19101,495.26,409.13,0
0.041886,0.010645,0.051724,0.03539,138.5,131.15,5.1532,0.24224,150.73,64.6,0
0.043972,0.012731,0.04265,0.044465,87.789,80.446,5.1125,0.28288,150.73,64.6,0
0.042806,0.011565,0.04265,0.044465,157.73,150.39,5.0154,0.38002,172.27,86.133,0
0.040228,0.0089868,0.056261,0.030853,119.25,111.91,5.0236,0.3718,409.13,323,0
0.042038,0.010797,0.053539,0.033575,138.97,131.63,5.0065,0.3889,387.6,301.46,0
0.044189,0.012948,0.04265,0.044465,115.72,108.38,4.9514,0.44405,409.13,323,0
0.037889,0.0066487,0.053539,0.033575,93.233,85.89,4.9948,0.40061,581.4,495.26,0
0.035848,0.0046077,0.057169,0.029946,86.866,79.522,5.1967,0.19871,387.6,301.46,0
0.039498,0.0082575,0.051724,0.03539,87.615,80.272,5.2008,0.19464,236.87,150.73,0
0.048556,0.017315,0.045372,0.041742,155,147.65,5.1494,0.24605,387.6,301.46,0
0.053635,0.022394,0.043557,0.043557,183.97,176.63,5.0336,0.36181,409.13,323,0
0.053152,0.021912,0.041742,0.045372,215.9,208.56,5.0861,0.30927,215.33,129.2,0
0.057834,0.026593,0.055354,0.03176,230.15,222.81,5.2147,0.18067,236.87,150.73,0
0.066235,0.034994,0.059891,0.027223,447.01,439.67,5.1927,0.20272,409.13,323,0
0.073108,0.041868,0.058076,0.029038,349.63,342.29,5.1976,0.19784,236.87,150.73,0
0.078676,0.047435,0.059891,0.027223,559.65,552.3,5.0325,0.3629,775.2,689.06,0
