@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,4-6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute normalizedSpectralEntropy numeric
@attribute class {0,1}

@data
2269,4.4009,1
2287,4.5535,1
2218.3,4.4576,1
2274.8,4.5987,1
2249.1,4.7661,1
2109.3,4.5041,1
2059,4.5785,1
1960.1,4.616,1
1791.3,4.7076,1
1747,4.6871,1
1784.5,4.6734,1
1782.4,4.6551,1
1799.2,4.6403,1
1843.9,4.6714,1
1915.4,4.6122,1
1998.7,4.5659,1
1999.7,4.5694,1
1993.6,4.5765,1
2022.5,4.5825,1
2032.3,4.4718,1
2077.4,4.4933,1
2146,4.4886,1
2147,4.5168,1
2194.9,4.411,1
2169.7,4.4455,1
2136.9,4.5805,1
1885.7,4.6706,1
1695.8,4.6605,1
1726.8,4.5676,1
1831.4,4.555,1
1760.3,4.5117,1
1709.1,4.6394,1
1683.5,4.5751,1
1683.2,4.3605,1
1673,4.3337,1
1723.2,4.1723,1
1786.7,4.2919,1
1793.6,4.3081,1
1786.1,4.1333,1
1882.2,4.1328,1
1868.8,4.071,1
2011.4,4.1396,1
2211.4,4.0855,1
2360.8,4.2756,1
2553,4.351,1
2564.8,4.5094,1
2505.9,4.0361,1
2469.1,4.0702,1
2438.2,4.1332,1
2550.9,4.1341,1
2667.4,4.1925,1
2793.9,4.1405,1
2849.5,4.2369,1
2777,4.2059,1
2779,4.3014,1
2778.3,4.2828,1
2877.6,4.3109,1
2833.4,4.277,1
2791.8,4.3417,1
2724.2,4.3356,1
2538.8,4.1917,1
2486.7,4.1652,1
2483.3,4.3253,1
2549.3,4.4118,1
2570.4,4.4111,1
2307.2,4.0945,1
2315.4,4.2384,1
2156,4.3287,1
1999.2,4.2928,1
2014.3,4.2061,1
1825.1,4.4682,1
1858.4,4.3616,1
1997.3,4.3162,1
2107.6,4.2218,1
1893.5,4.3068,1
1155.1,4.3937,1
1011.5,4.4887,1
981.07,4.5181,1
621.86,4.6107,1
779.37,4.7125,1
983.06,4.6111,1
927.44,4.5384,1
546.08,4.5423,1
1116.6,4.3194,1
946.34,4.2917,1
680.78,4.3303,1
896.49,4.1909,1
713.94,3.9898,1
601.08,3.7946,1
263.82,3.5958,1
0,4.641,1
0,4.4831,1
10.875,4.4968,1
35.479,4.8367,1
55.273,5.2038,1
40.288,4.9516,1
24.633,4.6448,0
21.045,4.4683,0
31.315,4.7992,0
41.65,5.2666,0
44.461,5.451,0
38.27,5.4889,0
37.358,5.3644,0
34.678,5.465,0
30.138,5.5152,0
32.002,5.4559,0
28.566,5.45,0
28.574,5.489,0
30.604,5.5751,0
33.142,5.5293,0
29.14,5.5065,0
26.685,5.4609,0
28.581,5.459,0
29.606,5.5779,0
26.575,5.6357,0
27.303,5.6124,0
26.962,5.6101,0
24.385,5.6213,0
20.454,5.6081,0
18.991,5.5544,0
22.333,5.5509,0
25.178,5.5976,0
21.031,5.5607,0
15.509,5.5486,0
17.031,5.4646,0
18.129,5.4461,0
18.333,5.4252,0
13.08,5.4378,0
15.004,5.5081,0
17.11,5.4579,0
18.112,5.5012,0
16.359,5.5661,0
17.028,5.5269,0
17.802,5.5112,0
20.388,5.5546,0
20.821,5.5741,0
21.538,5.5292,0
27.618,5.5873,0
40.142,5.6952,0
32.686,5.6636,0
31.94,5.6526,0
34.959,5.6973,0
39.492,5.6891,0
36.179,5.6785,0
41.462,5.6161,0
49.115,5.6971,0
46.839,5.608,0
38.193,5.5277,0
36.639,5.3919,0
35.185,5.1551,0
24.917,5.0814,0
29.431,5.3284,0
17.801,5.0005,0
15.543,5.3071,0
17.952,5.5129,0
18.733,5.6269,0
15.188,5.3016,0
15.055,5.341,0
11.18,5.4258,0
13.888,5.4278,0
11.605,5.3942,0
15.043,5.5521,0
15.595,5.2128,0
20.961,5.4813,0
14.356,5.3247,0
13.669,5.3635,0
14.924,5.4191,0
18.983,5.5202,0
17.306,5.4106,0
15.04,5.2748,0
14.337,5.0943,0
12.61,5.3146,0
11.98,5.2022,0
12.005,5.3976,0
12.662,5.4612,0
14.938,5.1926,0
11.927,5.4155,0
10.835,4.9886,0
11.172,5.2438,0
9.9471,5.0342,0
8.6285,4.8227,0
8.6597,5.3261,0
9.289,5.1815,0
19.511,5.6865,0
13.887,5.367,0
10.974,5.3649,0
9.9605,5.3045,0
11.213,5.3866,0
29.3,5.5921,0
31.607,5.5241,0
29.41,5.47,0
24.781,5.5306,0
22.726,5.4462,0
21.153,5.3245,0
18.269,5.4178,0
28.16,5.3991,0
31.165,5.6373,0
18.304,5.5837,0
13.235,5.4711,0
9.6156,5.4295,0
7.857,5.3971,0
9.6175,5.3388,0
9.5937,5.327,0
19.513,5.451,0
11.516,5.3726,0
14.933,5.1025,0
16.646,4.8854,0
14.719,5.1156,0
15.001,5.2397,0
13.139,5.1924,0
17.611,5.1634,0
18.131,5.2324,0
14.87,5.2578,0
14.857,5.344,0
39.36,5.5244,0
63.228,5.6428,0
62.172,5.6301,0
