@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-4,6'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency numeric
@attribute class {0,1}

@data
39.809,796.73,0
49.481,775.2,0
43.777,753.66,0
25.794,753.66,0
56.938,796.73,0
36.343,796.73,0
65.197,775.2,0
41.868,775.2,0
21.867,775.2,0
6.8289,818.26,0
38.646,796.73,0
109.83,796.73,0
101.05,775.2,0
126.81,796.73,0
93.6,689.06,0
85.265,689.06,0
73.676,818.26,0
83.134,775.2,0
18.606,2045.7,0
0.46341,818.26,0
9.22,775.2,0
13.586,775.2,0
0,2067.2,0
4.4331,2153.3,0
73.596,818.26,1
578.4,2217.9,1
2363.3,495.26,1
3539.9,516.8,1
3553.2,559.86,1
2876.8,516.8,1
4385.3,646,1
4887,559.86,1
3232.7,538.33,1
3141.7,516.8,1
2528.5,516.8,1
1773.5,473.73,1
1516.6,775.2,1
661.6,732.13,1
210.58,2153.3,1
18.955,516.8,1
44.427,538.33,1
45.052,2261,0
41.834,516.8,0
38.284,775.2,0
39.902,839.79,0
30.385,21.533,0
35.028,366.06,0
24.866,129.2,0
25.748,21.533,0
59.359,2261,0
48.405,775.2,0
24.888,753.66,0
