@relation 'featureMatrix-weka.filters.unsupervised.attribute.Remove-R1,3-5'

@attribute unnormalizedSpectralEntropy_min numeric
@attribute mostDominantFrequency_min numeric
@attribute class {0,1}

@data
2470,495.26,1
2490.5,495.26,1
2522.5,495.26,1
2591.3,495.26,1
2698,495.26,1
2651.9,495.26,1
2580.3,495.26,1
2487.4,495.26,1
2351.4,473.73,1
2215.8,473.73,1
2138.9,473.73,1
2586,473.73,1
3302.2,473.73,1
3603.7,473.73,1
3928.4,473.73,1
3646.4,473.73,1
3146.7,452.2,1
2322.9,452.2,1
1558.9,430.66,1
900.91,409.13,1
353.45,21.533,1
22.214,43.066,1
26.807,43.066,1
20.63,0,0
10.484,21.533,0
13.832,21.533,0
3.4811,43.066,0
109.88,0,0
86.763,21.533,0
56.997,43.066,0
39.335,0,0
1.1483,0,0
39.045,43.066,0
44.699,43.066,0
5.3615,21.533,0
23.95,0,0
1.375,21.533,0
29.94,43.066,0
57.907,0,0
19.626,21.533,0
18.316,43.066,0
27.347,43.066,0
10.791,0,0
27.671,0,0
27.279,43.066,0
36.739,21.533,0
43.249,0,0
91.723,150.73,0
22.76,43.066,0
31.157,0,0
2.8996,21.533,0
11.94,43.066,0
6.728,43.066,0
37.182,0,0
0.95762,0,0
131.37,43.066,0
55.945,0,0
21.496,0,0
61.015,21.533,0
0,43.066,0
89.008,43.066,0
143.62,0,0
125.26,43.066,0
94.956,43.066,0
159.72,0,0
111.02,0,0
69.784,43.066,0
56.506,43.066,0
3.2054,0,0
40.449,0,0
0.88382,43.066,0
37.106,43.066,0
64.645,0,0
8.0545,0,0
69.976,43.066,1
393.41,43.066,1
1571.9,0,1
2401.5,495.26,1
2471.5,538.33,1
2005.9,495.26,1
3204.8,624.46,1
3629.5,538.33,1
2193.9,516.8,1
2118.9,516.8,1
1637.1,495.26,1
1149.9,21.533,1
991.89,753.66,1
673.2,0,1
389.47,21.533,1
246.38,43.066,1
193.7,43.066,1
417.99,0,0
270.64,21.533,0
445.89,236.87,0
123.99,43.066,0
129.71,0,0
240.85,43.066,0
100.43,43.066,0
75.6,0,0
53.03,0,0
88.504,43.066,0
74.272,43.066,0
217.84,21.533,0
139.94,0,0
104.33,43.066,0
59.903,43.066,0
45.867,0,0
188.37,43.066,0
45.711,21.533,0
99.796,21.533,0
32.664,0,0
120.27,43.066,0
64.594,43.066,0
23.537,21.533,0
16.716,43.066,0
92.174,0,0
1.5447,43.066,0
53.623,43.066,0
4.2461,0,0
2.9056,43.066,0
32.953,43.066,0
49.098,0,0
13.612,43.066,0
6.9634,43.066,0
10.359,43.066,0
41.701,0,0
6.4072,43.066,0
44.267,21.533,0
38.064,0,0
32.586,21.533,0
38.052,21.533,0
92.433,43.066,0
16.082,21.533,0
7.4156,0,0
23.18,43.066,0
30.285,43.066,0
25.324,0,0
126.1,21.533,0
24.834,43.066,0
7.6038,43.066,0
18.229,21.533,0
29.359,0,0
39.158,43.066,0
23.256,21.533,0
51.159,0,0
5.346,21.533,0
11.272,43.066,0
15.635,43.066,0
41.639,0,0
