@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE unnormalizedSpectralEntropy_min 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE normalizedSpectralEntropy_min REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE mostDominantFrequency_min 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
349.63,342.29,5.1976,0.19784,236.87,150.73,0.37484,0.32816,4,13,0
559.65,552.3,5.0325,0.3629,775.2,689.06,0.72358,0.67689,3,14,0
509.41,502.07,5.1095,0.28587,796.73,710.6,0.81059,0.7639,3,14,0
424.15,416.8,5.1777,0.21766,430.66,344.53,0.66581,0.61913,4,13,0
231.21,223.86,5.3256,0.069755,775.2,689.06,0.42451,0.37783,3,14,0
281.05,273.71,5.2105,0.18487,775.2,689.06,0.36377,0.31709,4,13,0
203.12,195.78,5.312,0.083422,409.13,323,0.31219,0.26551,7,10,0
375.79,368.45,5.1153,0.28014,775.2,689.06,0.55823,0.51155,3,14,0
562.77,555.42,5.1546,0.24083,430.66,344.53,0.47329,0.42661,4,13,0
639.73,632.39,5.0311,0.36425,409.13,323,0.76059,0.71391,3,14,0
466.27,458.93,5.0551,0.3403,775.2,689.06,0.74872,0.70204,3,14,0
691.2,683.86,4.9815,0.41389,775.2,689.06,0.62582,0.57914,3,14,0
611.18,603.84,5.0191,0.37635,538.33,452.2,0.25147,0.20479,3,14,0
665.82,658.48,5.0032,0.39216,215.33,129.2,0.21332,0.16664,3,14,0
1054.8,1047.4,4.9518,0.44362,409.13,323,0.27638,0.2297,3,14,0
866.84,859.5,5.0227,0.37271,215.33,129.2,0.36575,0.31907,3,14,0
723.66,716.32,4.9427,0.45274,796.73,710.6,0.68569,0.639,3,14,0
713.34,705.99,4.9075,0.4879,796.73,710.6,0.93402,0.88734,3,14,0
837.87,830.53,4.9974,0.39799,818.26,732.13,0.73606,0.68938,3,14,0
828.3,820.96,4.9871,0.40829,387.6,301.46,0.54108,0.49439,3,14,0
754.14,746.8,4.8388,0.5566,818.26,732.13,0.63123,0.58455,3,14,0
