@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE class	{0,1}

@DATA
0.039792,0.0085512,0.073503,0.013612,0.022909,0.01283,47,0
0.043271,0.01203,0.059891,0.027223,0.019676,0.0095968,28,0
0.040727,0.0094859,0.063521,0.023593,0.014572,0.0044931,91,0
0.045453,0.014212,0.058984,0.028131,0.023345,0.013266,103,0
0.052779,0.021538,0.047187,0.039927,0.014508,0.0044287,78,0
0.057435,0.026194,0.04265,0.044465,0.025698,0.015619,107,0
0.078073,0.046833,0.043557,0.043557,0.028928,0.018849,73,0
0.082507,0.051266,0.043557,0.043557,0.02564,0.015561,25,0
0.068947,0.037706,0.041742,0.045372,0.022856,0.012777,175,0
0.072329,0.041088,0.039927,0.047187,0.023287,0.013208,71,0
0.072104,0.040864,0.039927,0.047187,0.027445,0.017366,74,0
0.061429,0.030188,0.044465,0.04265,0.022916,0.012837,73,0
0.070445,0.039204,0.045372,0.041742,0.019146,0.0090672,137,0
0.066926,0.035685,0.049909,0.037205,0.027486,0.017407,70,0
0.048762,0.017521,0.063521,0.023593,0.024708,0.014629,87,0
0.044945,0.013704,0.061706,0.025408,0.022452,0.012372,108,0
0.044651,0.01341,0.062613,0.024501,0.020665,0.010586,120,0
0.043907,0.012667,0.061706,0.025408,0.019924,0.0098446,114,0
0.036891,0.0056499,0.058984,0.028131,0.017663,0.007584,81,0
0.049703,0.018462,0.050817,0.036298,0.0176,0.0075205,55,0
0.067331,0.03609,0.03539,0.051724,0.022077,0.011997,84,0
0.078703,0.047463,0.038113,0.049002,0.028959,0.018879,177,0
0.070319,0.039079,0.050817,0.036298,0.020169,0.010089,35,0
0.058248,0.027007,0.049909,0.037205,0.021257,0.011178,77,0
0.058,0.026759,0.046279,0.040835,0.027821,0.017742,84,0
0.051141,0.019901,0.046279,0.040835,0.0273,0.017221,86,0
0.054913,0.023672,0.049002,0.038113,0.021177,0.011098,51,0
0.061482,0.030241,0.051724,0.03539,0.019727,0.009648,76,0
0.058349,0.027108,0.044465,0.04265,0.023654,0.013575,87,0
0.055221,0.02398,0.057169,0.029946,0.020224,0.010144,118,0
0.05378,0.022539,0.068966,0.018149,0.023574,0.013494,105,0
0.054297,0.023056,0.069873,0.017241,0.024652,0.014572,135,0
0.057181,0.02594,0.064428,0.022686,0.020358,0.010279,85,0
0.057884,0.026643,0.060799,0.026316,0.020734,0.010655,148,0
0.057996,0.026755,0.062613,0.016334,0.028291,0.018212,109,0
0.048651,0.01741,0.08167,0,0.024172,0.014093,56,0
0.047675,0.016435,0.07441,0.0072595,0.019647,0.0095681,57,0
0.048651,0.01741,0.062613,0.019056,0.023486,0.013407,32,0
0.046526,0.015286,0.071688,0.0099819,0.024886,0.014807,58,0
0.059625,0.028384,0.068058,0.013612,0.023155,0.013076,124,0
0.067263,0.036022,0.07078,0.010889,0.036506,0.026427,58,0
0.060619,0.029378,0.073503,0.008167,0.027611,0.017532,67,0
0.066268,0.035027,0.057169,0.024501,0.026629,0.01655,80,0
0.081317,0.050077,0.046279,0.03539,0.037925,0.027846,58,0
0.097906,0.066665,0.046279,0.03539,0.023189,0.01311,80,0
0.10917,0.077933,0.029946,0.051724,0.033949,0.02387,80,0
0.10107,0.069832,0.028131,0.053539,0.031758,0.021679,105,0
0.089814,0.058574,0.045372,0.036298,0.024737,0.014658,80,0
0.10183,0.07059,0.050817,0.030853,0.032719,0.02264,92,0
0.10472,0.07348,0.048094,0.033575,0.025481,0.015402,83,0
0.090797,0.059556,0.062613,0.019056,0.03064,0.020561,82,0
0.077032,0.045792,0.068966,0.012704,0.033638,0.023559,62,0
0.060013,0.028772,0.063521,0.018149,0.025968,0.015888,93,0
0.05168,0.020439,0.055354,0.026316,0.025183,0.015104,169,0
0.04841,0.017169,0.048094,0.033575,0.022324,0.012245,54,0
0.058925,0.027685,0.040835,0.040835,0.02397,0.01389,102,0
0.071239,0.039998,0.038113,0.043557,0.030291,0.020212,76,0
0.12653,0.095288,0.057169,0.024501,0.04117,0.031091,30,0
0.13768,0.10643,0.076225,0.0054446,0.039252,0.029173,23,0
0.12369,0.092445,0.058984,0.022686,0.024798,0.014719,182,0
0.1284,0.097162,0.048094,0.033575,0.027571,0.017492,87,0
0.12065,0.089413,0.056261,0.025408,0.032905,0.022826,158,1
0.12328,0.092038,0.049909,0.03176,0.029064,0.018985,152,1
0.11538,0.084138,0.04265,0.03902,0.039923,0.029844,154,1
0.11151,0.080269,0.043557,0.038113,0.032121,0.022041,140,1
0.15777,0.12653,0.037205,0.044465,0.030266,0.020187,40,1
