@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.3758,0.021779,1.5414,9,1
0.38348,0.020871,1.5404,9,1
0.45256,0.020871,1.6042,9,1
0.51516,0.021779,1.619,9,1
0.54863,0.021779,1.6068,9,1
0.55986,0.021779,1.6203,9,1
0.54781,0.020871,1.597,9,1
0.51489,0.019964,1.605,9,1
0.43435,0.019964,1.5224,8,1
0.33188,0.019964,1.5333,8,1
0.22566,0.019056,1.3047,8,1
0.10372,0.019056,1.318,7,1
0.047756,0.019964,1.076,7,1
0.016091,0.029038,1.0781,9,1
0.0095852,0.044465,1.1591,11,0
0.0053007,0.066243,0.92707,8,0
0.0042166,0.080762,1.262,11,0
0.0035966,0.085299,0.63396,27,0
0.0033306,0.075318,0.81343,31,0
0.0031914,0.083485,0.67354,44,0
0.0026196,0.10526,0.42548,38,0
0.0026685,0.10889,0.58566,40,0
0.0030148,0.10617,0.39372,40,0
0.0032517,0.098004,0.29563,42,0
0.0031302,0.094374,0.38951,42,0
0.0028703,0.097096,0.42767,48,0
0.0028213,0.11434,0.38398,40,0
0.0025787,0.12886,0.41731,46,0
0.0022392,0.12886,0.38673,41,0
0.0020446,0.14247,0.32106,46,0
0.0018195,0.14428,0.23265,87,0
0.0024318,0.1216,0.21897,94,0
0.0026383,0.14247,0.16313,89,0
0.0023087,0.18149,0.19026,93,0
0.0022808,0.17332,0.19909,86,0
0.0024646,0.16969,0.22245,90,0
0.0025887,0.17786,0.19118,99,0
0.0028751,0.17151,0.2113,94,0
0.0028173,0.16788,0.22166,77,0
0.0079938,0.14791,0.20363,48,0
0.0090228,0.11071,0.42791,27,0
0.010502,0.084392,0.80551,14,0
0.01249,0.10617,0.44864,15,0
0.010648,0.11252,0.34559,23,0
0.010559,0.089837,0.57303,20,0
0.0083667,0.14065,0.50182,24,0
0.012685,0.14428,0.49374,38,0
0.018356,0.084392,0.7615,14,0
0.019005,0.087114,0.76238,15,0
0.01921,0.086207,0.742,23,0
0.020968,0.066243,0.6954,24,0
0.026805,0.049002,0.66123,22,0
0.033153,0.03902,0.59341,21,0
0.035603,0.039927,0.73478,14,0
0.037353,0.03902,0.74965,18,0
0.037061,0.03539,0.92778,14,0
0.034971,0.036298,0.95118,19,0
0.033733,0.040835,0.87277,19,0
0.032293,0.045372,0.63807,25,0
0.029502,0.063521,0.53476,37,0
0.024522,0.075318,0.48622,33,0
0.020778,0.090744,0.7015,24,0
0.022254,0.089837,0.92498,37,0
0.02304,0.073503,0.50471,42,0
0.024273,0.073503,0.50886,39,0
0.035781,0.075318,0.52391,38,1
0.092993,0.07078,0.57397,38,1
0.20859,0.058076,0.78221,20,1
0.3311,0.03902,1.4114,10,1
0.32596,0.029038,0.86468,10,1
0.29456,0.028131,0.64686,10,1
0.38731,0.026316,0.53303,11,1
0.41005,0.032668,0.98488,10,1
0.34953,0.04265,1.3337,11,1
0.3078,0.053539,1.4151,10,1
0.24992,0.07441,1.0968,24,1
