@relation featureMatrix

@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE corMagPeak_min REAL
@ATTRIBUTE corPeakCount_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.034151,14,0.018849,9,0
0.0064597,5,0,0,0
0.00023911,1,0,0,1
0.042108,18,0.041869,17,1
0.58142,17,0.58118,16,1
0.60172,23,0.60148,22,1
0.72092,28,0.72068,27,1
0.89026,30,0.89003,29,1
0.77409,24,0.77385,23,1
0.9598,32,0.95956,31,1
1.1316,33,1.1313,32,1
1.0683,33,1.068,32,1
1.0094,32,1.0092,31,1
0.87326,33,0.87302,32,1
1.0632,33,1.063,32,1
1.0673,33,1.0671,32,1
0.97256,34,0.97233,33,1
1.1026,33,1.1024,32,1
1.1063,34,1.1061,33,1
1.1414,35,1.1412,34,1
1.1742,33,1.1739,32,1
1.1747,34,1.1744,33,1
1.1089,34,1.1087,33,1
1.0722,34,1.0719,33,1
1.1907,35,1.1904,34,1
1.2737,10,1.2734,9,1
1.3083,9,1.3081,8,1
1.4173,9,1.417,8,1
1.4677,9,1.4674,8,1
1.4631,9,1.4629,8,1
1.4173,9,1.4171,8,1
1.4278,9,1.4276,8,1
1.4541,9,1.4539,8,1
1.4294,9,1.4292,8,1
1.4165,9,1.4163,8,1
1.4956,9,1.4953,8,1
1.5069,9,1.5066,8,1
1.476,9,1.4758,8,1
1.4678,10,1.4676,9,1
1.5029,10,1.5026,9,1
1.5086,9,1.5084,8,1
1.486,9,1.4858,8,1
1.4798,9,1.4796,8,1
1.4926,9,1.4924,8,1
1.4543,9,1.454,8,1
1.5057,9,1.5054,8,1
1.5088,9,1.5086,8,1
1.5075,9,1.5073,8,1
1.5075,10,1.5072,9,1
1.5952,10,1.595,9,1
1.5382,10,1.5379,9,1
1.466,10,1.4658,9,1
1.1793,10,1.179,9,1
1.2404,9,1.2401,8,1
0.80729,10,0.80705,9,1
0.25086,10,0.25062,9,1
0.0023235,13,0.0020844,12,1
0.040871,33,0.040632,32,1
0.072053,31,0.071814,30,1
9.2595e-05,1,0,0,0
2.7832e-05,1,0,0,0
0.13849,17,0.13846,16,0
0.35626,5,0.35623,4,0
0.23418,3,0.23415,2,0
0.016988,8,0.01696,7,0
0.088557,7,0.088529,6,0
0.17979,13,0.17976,12,0
0.0080318,17,0.008004,16,0
0.006339,12,0.0063112,11,0
0.014724,7,0.014696,6,0
0.031017,17,0.030989,16,0
0.0075155,20,0.0074877,19,0
0.006386,13,0.0063582,12,0
0.052633,15,0.052605,14,0
0.059935,10,0.059907,9,0
0.03963,12,0.039603,11,0
0.039448,10,0.03942,9,0
0.082514,11,0.082486,10,0
0.010309,17,0.010281,16,0
0.006925,16,0.0068972,15,0
0.062109,9,0.062081,8,0
3.1693e-05,3,3.8617e-06,2,0
0.098052,6,0.098024,5,0
5.5929e-05,1,2.8097e-05,0,0
0.019741,9,0.019713,8,1
0.55719,12,0.55716,11,1
0.99567,9,0.99564,8,1
1.1364,9,1.1364,8,1
1.1324,11,1.1323,10,1
1.0958,9,1.0958,8,1
1.0262,27,1.0262,26,1
1.1482,34,1.1482,33,1
1.3091,9,1.309,8,1
1.2546,9,1.2546,8,1
1.256,9,1.2559,8,1
1.2131,9,1.213,8,1
1.302,9,1.302,8,1
1.2931,11,1.2931,10,1
1.1897,10,1.1897,9,1
1.1931,9,1.193,8,1
1.2969,9,1.2969,8,1
1.2577,9,1.2577,8,1
1.1794,9,1.1794,8,1
1.2305,9,1.2305,8,1
1.3528,19,1.3527,18,1
1.2347,10,1.2346,9,1
1.0852,8,1.0851,7,1
1.0523,8,1.0523,7,1
1.2378,8,1.2378,7,1
1.1305,29,1.1305,28,1
