@relation featureMatrix

@ATTRIBUTE unnormalizedSpectralEntropy 	REAL
@ATTRIBUTE normalizedSpectralEntropy REAL
@ATTRIBUTE mostDominantFrequency 	REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE unnormalizedSpectralEntropy_delta 	REAL
@ATTRIBUTE normalizedSpectralEntropy_delta REAL
@ATTRIBUTE mostDominantFrequency_delta 	REAL
@ATTRIBUTE corMagPeak_delta REAL
@ATTRIBUTE corPeakCount_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
-1.6389,-5.3789,150.73,0.52536,22,-3.2298,-0.017947,-53.833,0.032703,0,0
-46.959,-5.5092,279.93,0.38283,29,-36.872,-0.11412,172.27,-0.11553,7.5,0
-75.383,-5.6071,495.26,0.2943,37,32.864,0.018331,-64.6,0.046058,-2,0
18.768,-5.4726,150.73,0.47495,25,43.232,0.098713,-172.27,0.084168,-7.5,0
11.081,-5.4097,150.73,0.46263,22,6.9494,0.042694,10.767,0.020292,-1.5,0
32.667,-5.3872,172.27,0.51553,22,-2.3138,-0.0010997,129.2,0.04296,-2.5,0
6.4531,-5.4119,409.13,0.54855,17,-11.874,-0.023115,107.67,0.0066931,-2.5,0
8.9179,-5.4334,387.6,0.52892,17,-6.4105,0.013469,0,-0.069339,-2,0
-6.3679,-5.3849,409.13,0.40987,13,-18.71,-0.010241,96.899,-0.055734,0.5,0
-28.502,-5.4539,581.4,0.41745,18,-16.881,-0.11345,-10.767,-0.042803,6.5,0
-40.129,-5.6118,387.6,0.32427,26,-5.5882,-0.095258,-172.27,-0.076902,7,0
-39.679,-5.6444,236.87,0.26365,32,24.114,0.019849,0,0.10401,-2,0
8.098,-5.5721,387.6,0.53228,22,33.51,0.080087,86.133,0.22566,-10,0
27.341,-5.4843,409.13,0.71496,12,15.76,0.014674,-86.133,-0.032133,-1.5,0
39.619,-5.5428,215.33,0.46802,19,1.4339,-0.10261,-86.133,-0.12582,3.5,0
30.208,-5.6895,236.87,0.46332,19,66.501,-0.033522,96.899,0.10493,1.5,0
172.62,-5.6098,409.13,0.67788,22,38.025,0.020059,0,0.15994,1.5,0
106.26,-5.6494,236.87,0.78319,22,48.357,0.085089,183.03,0.15092,-4,0
269.33,-5.4397,775.2,0.97971,14,53.909,0.060045,279.93,0.0323,-3.5,0
214.08,-5.5293,796.73,0.84779,15,-52.78,-0.068672,-172.27,-0.15725,2,0
163.77,-5.577,430.66,0.66521,18,-96.398,-0.11013,-10.767,-0.18138,2.5,0
21.28,-5.7495,775.2,0.48502,20,-43.854,-0.02247,172.27,-0.066809,3.5,0
76.066,-5.622,775.2,0.53159,25,-6.7764,-0.0054378,-183.03,-0.076543,10.5,0
7.7272,-5.7604,409.13,0.33194,41,30.802,0.03141,0,0.085106,-2.5,0
137.67,-5.5591,775.2,0.7018,20,131.6,0.11663,10.767,0.10634,-11.5,0
270.92,-5.5271,430.66,0.54463,18,87.516,0.052989,-183.03,0.057549,-2.5,0
312.7,-5.4532,409.13,0.8169,15,-31.787,0.031951,172.27,0.082503,-2,0
207.34,-5.4632,775.2,0.70963,14,26.72,0.033168,183.03,-0.098318,-1,0
366.14,-5.3868,775.2,0.62027,13,37.989,0.0047892,-118.43,-0.10704,0,0
283.32,-5.4537,538.33,0.49556,14,-12.938,-0.014289,-279.93,-0.063748,2.5,0
340.27,-5.4154,215.33,0.49277,18,161.74,0.066426,-64.6,0.16311,-0.5,0
606.81,-5.3208,409.13,0.82178,13,59.355,0.0059159,0,0.11323,-1,0
458.98,-5.4036,215.33,0.71922,16,-117.05,0.00066073,193.8,-0.025524,0.5,0
372.71,-5.3195,796.73,0.77073,14,-33.682,0.080545,290.7,0.060137,-1,0
391.61,-5.2425,796.73,0.8395,14,48.581,-0.0011481,10.767,0.0060914,0,0
469.87,-5.3218,818.26,0.78291,14,50.444,-0.017349,-204.57,-0.075734,0,0
492.5,-5.2772,387.6,0.68803,14,-13.726,0.08599,0,0.013573,0.5,0
442.42,-5.1498,818.26,0.81006,15,-7.7963,0.046381,215.33,0.063742,0.5,0
476.91,-5.1844,818.26,0.81551,15,59.218,-0.10554,-290.7,-0.21689,4.5,0
560.86,-5.3609,236.87,0.37629,24,61.998,-0.041953,-204.57,-0.22863,3.5,0
600.9,-5.2683,409.13,0.35825,22,-111.72,0.024142,290.7,-0.0012416,-1,0
337.42,-5.3126,818.26,0.37381,22,-64.91,0.002384,0,-0.017253,2,0
471.08,-5.2635,409.13,0.32374,26,54.625,0.072882,21.533,0.040221,-1,0
446.67,-5.1668,861.33,0.45425,20,141.4,0.15642,0,0.1706,-8,0
753.88,-4.9507,409.13,0.66494,10,185.28,0.14302,-193.8,0.097034,-6,0
817.23,-4.8808,473.73,0.64832,8,196.92,0.097222,53.833,-0.10004,-0.5,0
1147.7,-4.7563,516.8,0.46486,9,584.81,0.19946,21.533,0.048692,1,0
1986.8,-4.4819,516.8,0.7457,10,473.67,0.18297,0,0.1665,0.5,0
2095.1,-4.3903,516.8,0.79786,10,-68.928,-0.091677,0,-0.077312,0.5,0
1849,-4.6652,516.8,0.59108,11,-620.01,-0.265,-161.5,-0.22047,3.5,0
