@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE energy_delta	REAL
@ATTRIBUTE zeroCrossingRate_delta REAL
@ATTRIBUTE class	{0,1}

@DATA
0.099465,0.059891,0.0087324,-0.014973,1
0.10708,0.048094,0.057959,-0.0099819,1
0.21538,0.039927,0.12485,-0.011797,1
0.35677,0.024501,0.10187,-0.0077132,1
0.41911,0.024501,0.023311,0,1
0.4034,0.024501,0.0094051,0.00090744,1
0.43792,0.026316,0.060716,0.0036298,1
0.52483,0.03176,0.089608,0.0022686,1
0.61714,0.030853,0.065809,-0.0018149,1
0.65645,0.028131,0.0086186,-0.0022686,1
0.63438,0.026316,-0.033048,-0.0018149,1
0.59035,0.024501,-0.051873,-0.0013612,1
0.53063,0.023593,-0.073917,-0.00045372,1
0.44252,0.023593,-0.093145,0,1
0.34434,0.023593,-0.06165,-0.00045372,1
0.31922,0.022686,-0.026631,-0.00090744,1
0.29108,0.021779,-0.039689,0.0022686,1
0.23984,0.027223,-0.042823,0.0058984,1
0.20543,0.033575,-0.023219,0.0068058,1
0.1934,0.040835,-0.011622,0.008167,1
0.18219,0.049909,-0.0098436,0.0040835,1
0.17371,0.049002,0.0024319,-0.0049909,1
0.18705,0.039927,0.0079553,-0.0054446,1
0.18962,0.038113,-0.00027746,0.00090744,1
0.1865,0.041742,-0.000172,-0.0013612,1
0.18928,0.03539,0.00062359,-0.0045372,1
0.18775,0.032668,-0.0019609,-0.00090744,1
0.18536,0.033575,-0.0038817,0.0040835,1
0.17998,0.040835,-0.014263,0.01588,1
0.15683,0.065336,-0.012147,0.0099819,1
0.15569,0.060799,0.0094579,-0.013158,1
0.17575,0.03902,0.009736,-0.013158,1
0.17516,0.034483,-0.0022907,0.0022686,1
0.17117,0.043557,0.0013202,0.0063521,1
0.1778,0.047187,0.02041,-0.0027223,1
0.21199,0.038113,0.03748,-0.0077132,1
0.25276,0.03176,0.025446,-0.0049909,1
0.26288,0.028131,-0.010942,0.0072595,1
0.23088,0.046279,-0.036177,0.015426,1
0.19053,0.058984,-0.010822,0.00090744,1
0.20923,0.048094,0.013555,-0.0040835,1
0.21764,0.050817,0.0062771,0.0018149,1
0.22179,0.051724,0.0051983,-0.003176,1
0.22803,0.044465,-0.0045494,-0.0040835,1
0.21269,0.043557,-0.0030948,0,1
0.22184,0.044465,0.018786,-0.00045372,1
0.25026,0.04265,0.033745,-0.003176,1
0.28933,0.038113,0.034697,-0.0027223,1
0.31965,0.037205,0.020984,-0.0022686,1
0.3313,0.033575,0.0081546,-0.00090744,1
0.33596,0.03539,0.0085798,0.00090744,1
0.34846,0.03539,0.015335,-0.0036298,1
0.36663,0.028131,0.0095766,-0.0018149,1
0.36761,0.03176,0.0024049,0.0045372,1
0.37144,0.037205,0.012471,0,1
0.39256,0.03176,0.0060419,-0.0058984,1
0.38353,0.025408,-0.013526,-0.0018149,1
0.36551,0.028131,-0.0059954,0,1
0.37154,0.025408,-0.0065976,-0.0022686,1
0.35231,0.023593,-0.024966,0,1
0.3216,0.025408,-0.012534,0.00045372,1
0.32724,0.024501,0.038494,-0.0013612,1
0.39859,0.022686,0.072442,-0.0013612,1
0.47213,0.021779,0.053739,-0.00045372,1
0.50607,0.021779,0.02227,-0.00045372,1
0.51667,0.020871,-0.0031433,-0.00045372,1
0.49978,0.020871,-0.02801,-0.00045372,1
0.46064,0.019964,-0.063135,-0.00045372,1
0.37351,0.019964,-0.090901,0,1
0.27884,0.019964,-0.078546,0.016334,1
0.21642,0.052632,-0.066154,0.026316,1
0.14654,0.072595,-0.050559,0.0054446,1
0.1153,0.063521,-0.027216,-0.0013612,1
0.092104,0.069873,-0.017603,-0.0018149,1
0.080097,0.059891,0.0010187,0.0013612,0
0.094141,0.072595,0.00706,0.016788,0
0.094217,0.093466,-0.0061389,0.0072595,0
0.081864,0.087114,-0.012064,-0.0013612,0
0.070088,0.090744,-0.0089312,0.0027223,0
0.064001,0.092559,-0.0065754,0.0027223,0
0.056938,0.096189,-0.0058293,0.003176,0
0.052343,0.098911,-0.00043614,-0.003176,0
0.056065,0.089837,0.00058599,-0.01225,0
0.053515,0.07441,-0.0029553,-0.0099819,0
0.050155,0.069873,-0.00014213,-0.0018149,0
0.05323,0.07078,0.00079371,-0.0054446,0
0.051742,0.058984,-0.0026201,-0.0063521,0
0.04799,0.058076,-0.0042788,0.0022686,0
0.043185,0.063521,-0.0018004,0.003176,0
0.044389,0.064428,0.00017806,0.0045372,0
0.043541,0.072595,-0.0019189,0.0036298,0
0.040551,0.071688,-0.0031594,-0.00090744,0
0.037222,0.07078,-0.0049362,0.0049909,0
0.030679,0.08167,-0.0031946,0.0049909,0
0.030833,0.080762,0.00068108,0.00090744,0
0.032041,0.083485,0.0024497,0.0086207,0
0.035732,0.098004,0.0049138,-0.0072595,0
0.041869,0.068966,0.0029346,-0.024955,0
0.041601,0.048094,-0.0023846,-0.0054446,0
0.0371,0.058076,-0.0031923,0.0068058,0
0.035217,0.061706,0.0010952,0.0013612,0
0.03929,0.060799,0.002592,0.0077132,0
0.040401,0.077132,0.0032834,0.027677,0
0.045857,0.11615,0.0078964,0.027223,0
0.056194,0.13158,0.0049084,0.003176,0
0.055673,0.1225,0.0011094,-0.020417,0
0.058412,0.090744,0.0014021,-0.024955,0
0.058478,0.072595,-0.0022235,-0.0054446,0
0.053965,0.079855,-0.0024425,0.0018149,0
0.053593,0.076225,-0.0011098,-0.0068058,0
0.051746,0.066243,0.0045516,-0.01225,0
0.062696,0.051724,0.0052331,-0.011343,0
0.062212,0.043557,-0.003605,-0.0018149,0
0.055486,0.048094,0.006249,-0.0018149,0
0.07471,0.039927,0.016147,-0.0040835,0
0.08778,0.039927,2.7764e-05,0.014065,0
0.074766,0.068058,-0.008601,0.019964,0
0.070578,0.079855,-0.003485,0.0036298,0
0.067796,0.075318,-0.011388,0,0
0.047802,0.079855,-0.010474,0.015426,0
0.046847,0.10617,-0.00069792,0.016334,0
0.046406,0.11252,5.1546e-05,-0.013158,0
0.04695,0.079855,-0.00033873,-0.019964,0
0.045729,0.072595,0.00090777,-0.003176,0
0.048765,0.073503,0.0083787,0.0018149,0
0.062486,0.076225,0.028415,0.00045372,1
0.1056,0.07441,0.065368,-0.0068058,1
0.19322,0.062613,0.096147,-0.01588,1
0.29789,0.04265,0.048762,-0.0099819,1
