@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralNumPeaks REAL
@ATTRIBUTE cepstralLocFirstPeak REAL
@ATTRIBUTE energy_min	REAL
@ATTRIBUTE zeroCrossingRate_min REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralNumPeaks_min REAL
@ATTRIBUTE cepstralLocFirstPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0013259,0.17514,0.00078292,0,0,0.00041048,0.15699,0.00072483,0,0,0
0.0012661,0.12613,0.00057843,0,0,0.00035077,0.10799,0.00052034,0,0,0
0.001242,0.11978,0.00036643,0,0,0.00032659,0.10163,0.00030834,0,0,0
0.0014804,0.11434,0.00058961,0,0,0.00056504,0.096189,0.00053152,0,0,0
0.0015106,0.13612,0.00027927,0,0,0.00059519,0.11797,0.00022118,0,0,0
0.0016301,0.11525,0.00020123,0,0,0.00071476,0.097096,0.00014314,0,0,0
0.0017844,0.087114,0.00047631,0,0,0.00086906,0.068966,0.00041822,0,0,0
0.0017519,0.10254,0.0007519,0,0,0.00083652,0.084392,0.00069381,0,0,0
0.001626,0.10799,0.00064183,0,0,0.00071063,0.089837,0.00058374,0,0,0
0.0014201,0.13067,0.00031985,0,0,0.00050476,0.11252,0.00026176,0,0,0
0.0012291,0.17423,0.00033764,0,0,0.00031368,0.15608,0.00027955,0,0,0
0.0013061,0.13158,0.00061974,0,0,0.0003907,0.11343,0.00056165,0,0,0
0.0013318,0.13249,0.0011061,0,0,0.00041637,0.11434,0.001048,0,0,0
0.0012717,0.17423,0.0010019,0,0,0.00035628,0.15608,0.00094377,0,0,0
0.001763,0.11797,0.0003454,0,0,0.00084759,0.099819,0.00028731,0,0,0
0.0019851,0.077132,0.00045163,0,0,0.0010697,0.058984,0.00039354,0,0,0
0.0015506,0.11252,0.00083219,0,0,0.00063524,0.094374,0.0007741,0,0,0
0.0012183,0.13521,0.00060369,0,0,0.00030294,0.11706,0.0005456,0,0,0
0.0012038,0.11525,0.00037179,0,0,0.00028847,0.097096,0.0003137,0,0,0
0.0012695,0.14247,0.0005708,0,0,0.00035413,0.12432,0.00051271,0,0,0
0.0014328,0.14882,0.00052345,0,0,0.00051737,0.13067,0.00046536,0,0,0
0.0014336,0.12341,0.00034853,0,0,0.0005182,0.10526,0.00029044,0,0,0
0.0013578,0.11797,0.00039467,0,0,0.00044245,0.099819,0.00033658,0,0,0
0.0013288,0.098911,0.00028055,0,0,0.00041346,0.080762,0.00022246,0,0,0
0.0015829,0.065336,0.00022891,0,0,0.00066756,0.047187,0.00017082,0,0,0
0.0015598,0.088022,0.00075209,0,0,0.00064446,0.069873,0.000694,0,0,0
0.0012873,0.10889,0.00027943,0,0,0.00037197,0.090744,0.00022134,0,0,0
0.0012807,0.11525,0.00035423,0,0,0.00036535,0.097096,0.00029614,0,0,0
0.0011184,0.19147,0.00053202,0,0,0.00020303,0.17332,0.00047393,0,0,0
0.0010853,0.20599,0.00060433,0,0,0.00016987,0.18784,0.00054624,0,0,0
0.0011919,0.16425,0.00032742,0,0,0.00027651,0.1461,0.00026933,0,0,0
0.0010129,0.17604,0.00043378,0,0,9.7487e-05,0.15789,0.00037569,0,0,0
0.0010579,0.1833,0.00093619,0,0,0.00014248,0.16515,0.0008781,0,0,0
0.0014242,0.16425,0.0027341,0,0,0.00050887,0.1461,0.002676,0,0,0
0.0017533,0.12886,0.0014687,0,0,0.00083794,0.11071,0.0014106,0,0,0
0.0017279,0.10799,0.00083555,0,0,0.00081255,0.089837,0.00077746,0,0,0
0.0015616,0.12432,0.0017898,0,0,0.00064619,0.10617,0.0017317,0,0,0
0.0014326,0.13702,0.0011193,0,0,0.0005172,0.11887,0.0010613,0,0,0
0.0013182,0.13339,0.0013144,0,0,0.00040285,0.11525,0.0012563,0,0,0
0.0014601,0.13612,0.00064079,0,0,0.00054472,0.11797,0.0005827,0,0,0
0.00147,0.13702,0.0018612,0,0,0.0005546,0.11887,0.0018031,0,0,0
